type	species	x_m	y_m	ht_m	dbh_cm
Stump	PSME	96.47	178.82	2.98	7.09
Tree	PIPO	46.09	105.06	3	8.13
Tree	POTR	13.47	145.99	3	1.02
Tree	POTR	7.87	159.75	3	2.54
Tree	POTR	4.64	159.32	3	2.54
Tree	POTR	111.78	169.53	3	17.78
Stump	PIPO	0.34	7.69	3.04	4.01
Stump	PIPO	175	27.52	3.04	4.01
Stump	PIPO	18.17	62.17	3.04	4.01
Stump	PIPO	95.31	72.08	3.04	4.01
Stump	PIPO	133.02	127.89	3.04	4.01
Stump	PIPO	86.13	161.29	3.04	4.01
Stump	PIPO	99.21	151.57	3.04	4.01
Stump	PIPO	75.95	165.97	3.04	4.01
Stump	PIPO	75.93	158.2	3.04	4.01
Stump	PIPO	62.49	182.69	3.04	4.01
Stump	PIPO	51.96	179.6	3.04	4.01
Stump	POTR	108.24	184.58	3.06	3.59
Stump	POTR	103.01	164.79	3.06	3.59
Stump	POTR	147.38	180.42	3.06	3.59
Tree	PIPO	180.56	18.65	3.08	7.87
Stump	PIPO	28.29	62.89	3.11	4.23
Stump	PIPO	17.83	135.55	3.11	4.23
Stump	PIPO	77.38	168.35	3.11	4.23
Stump	PIPO	117.94	157.62	3.11	4.23
Stump	PIPO	136.62	159.15	3.11	4.23
Stump	PIPO	179.09	160.54	3.11	4.23
Stump	PIPO	189.67	164.47	3.11	4.23
Stump	PIPO	9.33	191.16	3.11	4.23
Tree	PIPO	89.51	53.43	3.11	9.65
Tree	PIPO	186.69	44.39	3.15	6.6
Stump	POTR	8.51	170.84	3.18	3.82
Stump	POTR	7.47	156.36	3.18	3.82
Stump	POTR	114.21	168.12	3.18	3.82
Stump	PIPO	3.48	28.54	3.19	4.46
Stump	PIPO	93.93	70.58	3.19	4.46
Stump	PIPO	96.66	73.56	3.19	4.46
Stump	PIPO	114.99	85.77	3.19	4.46
Stump	PIPO	77.41	103.53	3.19	4.46
Stump	PIPO	89.09	145.43	3.19	4.46
Stump	PIPO	8.07	153.05	3.19	4.46
Stump	PIPO	37.1	167.09	3.19	4.46
Stump	PIPO	50.06	152.14	3.19	4.46
Stump	PIPO	53.19	167.56	3.19	4.46
Stump	PIPO	72.91	163.07	3.19	4.46
Stump	PIPO	57.41	173.79	3.19	4.46
Stump	PIPO	55.27	172.83	3.19	4.46
Stump	PIPO	78.01	166.73	3.19	4.46
Stump	PIPO	178.45	169.59	3.19	4.46
Stump	PIPO	163.44	186.32	3.19	4.46
Stump	PIPO	84.85	176.47	3.19	4.46
Stump	PIPO	47.12	177.48	3.19	4.46
Stump	PIPO	47.7	191.98	3.19	4.46
Stump	PIPO	84.94	161.85	3.19	4.46
Stump	PIPO	73.56	186.19	3.19	4.46
Tree	POTR	5.37	159.9	3.2	1.78
Stump	PIPO	182.21	45.37	3.27	4.68
Stump	PIPO	161.43	45.44	3.27	4.68
Stump	PIPO	5.76	105.8	3.27	4.68
Stump	PIPO	198.37	136	3.27	4.68
Stump	PIPO	128.27	131.01	3.27	4.68
Stump	PIPO	103.17	174.74	3.27	4.68
Tree	PIPO	193.13	44.93	3.3	7.62
Tree	POTR	7.08	166.44	3.3	5.08
Stump	POTR	104.14	161.62	3.3	4.04
Stump	POTR	114.88	175.47	3.3	4.04
Stump	PIPO	116.26	4.94	3.34	4.9
Stump	PIPO	167.42	33.53	3.34	4.9
Stump	PIPO	8.89	32.2	3.34	4.9
Stump	PIPO	39.98	104.49	3.34	4.9
Stump	PIPO	88.59	101.26	3.34	4.9
Stump	PIPO	104.57	130.89	3.34	4.9
Stump	PIPO	116.38	145.96	3.34	4.9
Stump	PIPO	87.75	161.6	3.34	4.9
Stump	PIPO	83.73	173.85	3.34	4.9
Stump	PIPO	119.47	165.43	3.34	4.9
Stump	PIPO	158.65	151.15	3.34	4.9
Stump	PIPO	65.14	189.98	3.34	4.9
Stump	PIPO	11.27	191.91	3.34	4.9
Stump	PIPO	107.12	165.4	3.34	4.9
Stump	PIPO	66.74	192.46	3.34	4.9
Stump	PIPO	102.3	25.36	3.42	5.13
Stump	PIPO	52.16	40.36	3.42	5.13
Stump	PIPO	34.74	47.09	3.42	5.13
Stump	PIPO	111.95	76.05	3.42	5.13
Stump	PIPO	72.58	156.73	3.42	5.13
Stump	PIPO	70.91	167.98	3.42	5.13
Stump	PIPO	101.06	152.33	3.42	5.13
Stump	PIPO	85.99	168	3.42	5.13
Stump	PIPO	102.26	169.81	3.42	5.13
Stump	PIPO	109.31	152.05	3.42	5.13
Tree	PIPO	173.85	7.7	3.46	7.62
Tree	PIPO	46.98	140.68	3.48	5.33
Stump	PIPO	138.67	41.7	3.49	5.35
Stump	PIPO	146.57	26.32	3.49	5.35
Stump	PIPO	63.28	48.67	3.49	5.35
Stump	PIPO	184.31	142.66	3.49	5.35
Stump	PIPO	71.96	158.78	3.49	5.35
Stump	PIPO	68.62	162.18	3.49	5.35
Stump	PIPO	59.62	164.58	3.49	5.35
Stump	PIPO	90.49	163.56	3.49	5.35
Stump	PIPO	82.76	172.29	3.49	5.35
Stump	PIPO	183	174.32	3.49	5.35
Stump	PIPO	183.59	167.24	3.49	5.35
Stump	PIPO	154.63	176.42	3.49	5.35
Tree	PIPO	196.66	29.57	3.52	9.91
Stump	POTR	41.58	141.93	3.54	4.5
Stump	POTR	44.05	142.46	3.54	4.5
Stump	POTR	34.75	152.67	3.54	4.5
Stump	POTR	103.61	164.49	3.54	4.5
Stump	POTR	140.88	177.92	3.54	4.5
Stump	PSME	6.34	160.81	3.54	8.51
Stump	PSME	12.85	190.87	3.54	8.51
Stump	PIPO	145.2	17.69	3.57	5.58
Stump	PIPO	186.9	43.27	3.57	5.58
Stump	PIPO	138.02	31.27	3.57	5.58
Stump	PIPO	52.2	39.21	3.57	5.58
Stump	PIPO	126.85	83.28	3.57	5.58
Stump	PIPO	6.03	89.78	3.57	5.58
Stump	PIPO	187.23	134.05	3.57	5.58
Stump	PIPO	101.76	129.49	3.57	5.58
Stump	PIPO	113.06	144.73	3.57	5.58
Stump	PIPO	45.24	165.7	3.57	5.58
Stump	PIPO	61.01	151	3.57	5.58
Stump	PIPO	72.52	158.06	3.57	5.58
Stump	PIPO	52.52	167.92	3.57	5.58
Stump	PIPO	95.6	152.71	3.57	5.58
Stump	PIPO	75.76	168.98	3.57	5.58
Stump	PIPO	102.29	150.23	3.57	5.58
Stump	PIPO	131.51	163.35	3.57	5.58
