"","site","x","y","z","dbh","height","species","crownArea","crownCentroidX","crownCentroidY","crownVectorLen","crownVectorDir"
"191",6,16.544,18.531,-0.039,19.8,15.778,"Picea abies",4.8819825,16.67870841,18.27844743,0.286232699,151.9250933
"192",6,3.078,23.087,0.267,16,13.035,"Picea abies",2.853604,3.122302419,22.84670126,0.244348502,169.5540244
"193",6,-0.658,18.343,0.088,17.3,12.371,"Picea abies",5.7876455,-0.99932383,18.23656162,0.357534734,252.6804389
"194",6,-0.825,22.394,0.37,14.6,11.309,"Betula pubescens",5.181414,-1.061387809,22.48654353,0.253857246,291.3798607
"195",7,-0.544,12.211,0.842,12.7,15.863,"Pinus sylvestris",2.0504235,-0.4280384,12.45591891,0.270984066,25.33612129
"196",7,-0.912,22.699,1.206,25.4,16.638,"Pinus sylvestris",8.7147205,-0.89816514,22.86012376,0.161716635,4.907653576
"197",7,0.154,31.561,2.164,26.3,15.838,"Pinus sylvestris",9.887175,1.171036092,30.7629651,1.292757562,128.1201152
"198",7,6.198,25.935,1.32,23,16.175,"Pinus sylvestris",4.998381,6.204271112,25.70967762,0.225409629,178.4057709
"199",7,1.717,14.929,0.583,41.5,19.482,"Pinus sylvestris",17.359087,1.649293021,15.3033384,0.380412241,349.7476924
"200",7,3.417,10.649,-0.167,18.7,15.978,"Pinus sylvestris",2.9517305,3.375663717,10.5584768,0.099514513,204.5432144
"201",7,3.75,6.206,-0.296,20.2,17.058,"Pinus sylvestris",4.6602735,3.733312349,6.326579564,0.121728834,352.1205818
"202",7,6.277,8.669,-0.057,20.6,16.111,"Pinus sylvestris",4.3030145,6.3041244,8.580840398,0.092237999,162.8982399
"203",7,9.775,9.751,-0.347,15.3,12.516,"Pinus sylvestris",2.081882,9.660799751,9.835878109,0.142288406,306.6211806
"204",7,13.458,10.609,-0.529,51.3,17.734,"Pinus sylvestris",18.49477,13.30486027,10.63171211,0.154814781,278.4360282
"205",7,10.389,3.14,-1.158,36.6,18.244,"Pinus sylvestris",14.2170455,10.07700014,3.605894343,0.560715127,326.190593
"206",7,13.261,-0.139,-2.517,36.3,20.317,"Pinus sylvestris",25.2515445,14.26293323,-0.271405098,1.010644006,97.52799607
"207",7,21.949,0.764,-2.332,14.2,9.636,"Betula pubescens",6.52048,22.22960296,0.490849286,0.391598432,134.2289779
"208",7,29.479,-0.763,-4.672,40.5,16.918,"Pinus sylvestris",12.3506195,29.36186008,-0.587235976,0.211222047,326.3180792
"209",7,25.433,4.006,-2.66,19.3,16.787,"Pinus sylvestris",4.217446,25.46279832,3.466816582,0.540006203,176.8367294
"210",7,24.225,4.535,-1.696,20.3,16.203,"Pinus sylvestris",3.4421005,23.90526645,4.272075267,0.413955257,230.568701
"211",7,23.338,9.181,-1.276,19.5,9.988,"Pinus sylvestris",5.578199,23.3302252,8.828876539,0.352209283,181.2648713
"212",7,24.698,9.991,-0.946,45.5,16.808,"Pinus sylvestris",16.7125965,23.44084204,9.70744703,1.288739081,257.2895828
"213",7,18.651,13.071,-1.074,21,17.468,"Pinus sylvestris",5.182505,18.81120083,12.48058514,0.611763034,164.8191005
"214",7,19.829,14.615,-0.884,22.2,17.401,"Pinus sylvestris",3.24847,19.68477172,14.62054222,0.144334728,272.2006065
"215",7,15.386,20.452,-0.202,10.4,9.851,"Pinus sylvestris",1.133318,15.45523132,20.35845929,0.116373706,143.4941266
"216",7,14.269,21.219,0.223,22.3,14.999,"Pinus sylvestris",4.1149485,14.11260301,20.75705763,0.487699474,198.7042425
"217",7,13.085,23.429,0.505,27.7,19.41,"Pinus sylvestris",10.5583535,13.03484637,23.58922334,0.167889563,342.618666
"218",7,11.699,17.086,0.338,17.7,16.346,"Pinus sylvestris",2.5687515,11.65785472,16.99456286,0.10026806,204.227001
"219",7,10.444,17.753,0.355,18.2,14.119,"Pinus sylvestris",3.342056,10.38537884,17.61622009,0.148812578,203.1990165
"220",7,9.891,19.016,0.319,15.5,10.864,"Pinus sylvestris",4.425976,9.447138344,19.58907155,0.724861487,322.2411095
"221",7,8.121,17.182,0.461,30.6,17.828,"Pinus sylvestris",8.31718,7.762777398,16.4873903,0.781540828,207.2809646
"222",7,8.974,24.314,0.891,14.8,12.937,"Pinus sylvestris",2.2814585,9.059633542,24.16415153,0.17259104,150.253434
"223",7,9.362,25.739,1.085,14.1,13.909,"Pinus sylvestris",2.12265,9.392316813,25.50510556,0.235851048,172.6146402
"224",7,9.836,28.626,1.495,25.6,17.847,"Pinus sylvestris",9.2317835,10.1197777,28.74590331,0.30806913,67.09470363
"225",7,9.932,30.63,1.811,13.5,14.751,"Pinus sylvestris",1.8925985,10.14104244,30.77841489,0.256370279,54.62620348
"226",7,16.029,31.743,2.042,23.2,18.055,"Pinus sylvestris",5.8827745,15.87613344,31.29178076,0.476410522,198.715638
"227",7,20.569,25.775,0.795,32.4,16.463,"Pinus sylvestris",16.726727,20.60721849,25.77956458,0.038490111,83.18921296
"228",7,17.644,17.036,-0.492,24.3,18.954,"Pinus sylvestris",5.141938,17.96115892,17.08103254,0.320339997,81.9187442
"229",7,23.127,16.717,-1.09,22.8,16.528,"Pinus sylvestris",4.8762635,23.094998,16.42753898,0.291224669,186.3088401
"230",7,27.571,13.936,-2.167,11.7,13.8,"Pinus sylvestris",1.420772,27.34507596,13.73461349,0.302651948,228.2864964
"231",7,31.177,12.652,-2.712,12.5,14.25,"Pinus sylvestris",2.169027,31.1880644,12.3726273,0.279591712,177.7320179
"232",7,29.77,14.402,-2.311,31.4,21.776,"Pinus sylvestris",9.2096075,30.17990309,13.95571729,0.605961055,137.4330538
"233",7,28.225,17.467,-2.178,12.9,14.443,"Pinus sylvestris",1.0223415,28.21889328,17.28816563,0.178938607,181.9557405
"234",7,32.437,15.726,-2.608,13,11.014,"Pinus sylvestris",1.438601,32.41661297,15.31724551,0.40926259,182.8553172
"235",7,32.249,16.888,-2.458,23.5,18.134,"Pinus sylvestris",3.356054,32.26352114,16.82560398,0.064063458,166.8990099
"236",7,31.276,18.05,-2.243,14.3,12.507,"Pinus sylvestris",1.1428645,31.1765377,18.01186663,0.106521841,249.0234153
"237",7,28.509,21.197,-1.585,20.5,18.538,"Pinus sylvestris",2.335875,28.65489652,21.04383435,0.211531349,136.3923801
"238",7,28.215,22.528,-0.849,19,15.364,"Pinus sylvestris",2.967761,28.37252426,22.64970542,0.199063058,52.30982973
"239",8,5.855,7.938,-0.476,36.8,15.003,"Pinus sylvestris",15.903508,6.241545387,7.612726937,0.505192935,130.0801876
"240",8,7.927,14.242,-0.629,37.8,19.015,"Pinus sylvestris",17.8451125,8.210528363,13.79206004,0.531821683,147.7830391
"241",8,5.673,14.22,-0.351,25.9,16.895,"Pinus sylvestris",7.413471,5.132115261,14.25550662,0.54204891,273.7558181
"242",8,5.622,18.331,-0.495,24.8,16.004,"Pinus sylvestris",8.93505,5.43578819,17.90977126,0.460552378,203.848695
"243",8,6.379,19.668,-0.487,25.3,21.018,"Pinus sylvestris",4.4921115,6.458227553,19.65638848,0.08007392,98.33786018
"244",8,10.23,27.058,-0.641,29.5,16.995,"Pinus sylvestris",8.1540975,10.56119574,27.15532759,0.345200342,73.62366299
"245",8,12.203,30.37,-0.877,28,18.244,"Pinus sylvestris",8.3880955,12.35345336,30.68484991,0.348950825,25.54114807
"246",8,9.677,31.673,-0.602,13.6,15.688,"Pinus sylvestris",1.7983175,9.973577677,31.52881132,0.329770671,115.9278673
"247",8,8.006,31.547,-0.479,27.4,17.744,"Pinus sylvestris",9.5838865,7.678872739,31.51113958,0.329086941,263.7440888
"248",8,6.822,32.943,-0.366,24.3,14.019,"Pinus sylvestris",6.487921,6.089386068,32.97248864,0.73320717,272.3049837
"249",8,-1.005,16.726,-0.311,35.2,15.129,"Pinus sylvestris",10.175997,-0.903593687,16.58954817,0.170006888,143.3815362
"250",8,-1.593,3.761,-0.092,32.9,17.301,"Pinus sylvestris",19.0338995,-1.428025274,3.193751578,0.590751583,163.7838105
"251",8,5.616,2.403,-0.474,17.7,14.105,"Pinus sylvestris",2.9370185,5.829730355,2.032751302,0.427509956,150.0038105
"252",8,16.535,-2.433,-3,40.6,19.88,"Pinus sylvestris",17.8045045,16.41311983,-2.224637025,0.241391602,329.6748589
"253",8,12.997,4.203,-2.005,33.9,17.362,"Pinus sylvestris",14.49204,13.50776017,4.289854097,0.518092257,80.34924349
"254",8,16.202,8.731,-2.549,32.9,19.199,"Pinus sylvestris",13.0722785,16.15253419,8.792000932,0.078536487,320.9613186
